w3_urban,w3_hhid,exp_total,hh_size,dw_hh,hh_weight,housing_wgt,food_wgt,intox_wgt,entsprt_wgt,comm_wgt,clothing_wgt,hhitems_wgt,health_wgt,educ_wgt,trans_wgt,ptrans_wgt,misc_wgt,w3_african,w3_coloured,w3_indas,w3_white,ew_hh,pers_inc_d,pers_inc_e,hrslstwk,hrslstwk_e,hrslstwk_d,cluster,wage_e,wage_d,pers_inc_hh,w3_ruralform,w3_tribal,w3_urbaninf,w3_province,w3_gc_dc,w3_h_rntpay,w3_h_ownmn,food,w3_h_nfcigspn,w3_h_nfalcspn,w3_h_nfentspn,w3_h_nfsprspn,w3_h_nfperspn,w3_h_nfjewspn,w3_h_nftrpspn,w3_h_nfcelspn,w3_h_nftelspn,w3_h_nfnetspn,w3_h_nflotspn,w3_h_nfcerspn,w3_h_nfcarspn,w3_h_nfpetrspn,ptrans,w3_h_nfwatspn,w3_h_nfelespn,w3_h_nfenespn,w3_h_nfmunspn,w3_h_nflevspn,w3_h_nfinsfspn,w3_h_nfinseduspn,w3_h_nfinslspn,w3_h_nfinsshspn,w3_h_nfmedaidspn,w3_h_nfkitspn,w3_h_nfdwlspn,w3_h_nfbedspn,w3_h_nfmatspn,w3_h_nfhpspn,w3_h_nffrnspn,w3_h_nfclthspn,w3_h_nfclthaspn,w3_h_nfclthmspn,w3_h_nfdocspn,w3_h_nfhspspn,w3_h_nfmedspn,w3_h_nftradspn,w3_h_nfhomspn,w3_h_nfschfeespn,w3_h_nfschstatspn,w3_h_nfschunispn,w3_h_nfschospn,w3_h_nfwshspn,w3_h_nfchldspn,w3_h_nfrelspn,w3_h_nfdomspn,w3_h_nfpetsspn,w3_h_nfswimspn,w3_h_nftoysspn,w3_h_nfgftsspn,w3_h_nflobspn,w3_h_nfinctaxspn,w3_h_tinc,w3_h_tinc_cat,w3_hhgeo,w3_h_fdtot_cat,w3_h_refrem,w3_h_sub,deathill_neg,stock_neg,income_neg,other_neg,dest_neg,pers_inc_d_avg,pers_inc_e_avg,hrslstwk_dom_avg,dw_count,ew_count,housing,intox,entsprt,comm,clothing,hhitems,health,educ,trans,misc,sole_provider_d,pop_g1,pop_g2,pop_g3,pop_g4,pop_g5,dom_employ_hh,fweight,dw_emp,joburg_ct_u,pret_ct_u,pret_jo_u,foodflag,exp_k,food_inf,intox_inf,clothing_inf,housing_inf,hhitems_inf,health_inf,trans_inf,ptrans_inf,comm_inf,entsprt_inf,educ_inf,misc_inf,food_infwgt,intox_infwgt,clothing_infwgt,housing_infwgt,hhitems_infwgt,health_infwgt,trans_infwgt,ptrans_infwgt,comm_infwgt,entsprt_infwgt,educ_infwgt,misc_infwgt,hh_inflation,minwage_change,inf_diff,inf_diff_cat
0,300037,2215,5,1,1069.823486,0,0.1805869,0.0902935,0.0609481,0.0225734,0.2257336,0.1444695,0.1128668,0.0180587,0,0.0361174,0.1083521,0,5,0,0,1,370,770,105,105,55,1009,1.700609,1.553643,770,1,0,0,1. Western Cape,2. Boland District Municipality,,,400,200,,,,150,,135,50,,,,,,,80,,,,,,,,,,,120,,,,,,500,,,250,,,,,,40,,,60,150,30,,,,50,,,,4960,,1. Rural Formal,,0,0,1,0,0,0,0,370,385,,1069.823,2139.647,0,200,135,50,500,320,250,40,0,240,0,0,1,0,0,0,1,1069,DW Household,,,,0,2.215,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0158916,0.0046953,0.0121896,0,0.0053454,0.0051919,0,0.0023476,-0.0001129,0.0016456,0.0015711,0.0073679,0.0561332,0.076,0.0198668,>=1%
0,300063,584,6,0,586.0062866,0.0410959,0.8561644,0,0,0,0,0,0,0,0,0,0.1027397,6,0,0,0,1,0,0,40,40,0,5029,,,0,0,1,0,5. KwaZulu-Natal,24. Umzinyathi District Municipality,,,500,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,1120,,2. Tribal Authority Areas,,0,0,1,0,0,0,0,,0,,0,586.0063,24,0,0,0,0,0,0,0,0,60,,1,0,0,0,0,1,586,DW Employer,,,,1,0.584,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0753425,0,0,0.0023425,0,0,0,0,0,0,0,0.0069863,0.0846712,0.076,-0.0086712,< 0%
0,300075,1360,7,1,444.7031555,0.0367647,0.4411765,0.2941177,0,0.0073529,0,0.1470588,0,0,0,0,0.0735294,7,0,0,0,1,500,500,61,16,16,5038,7.21709,7.21709,2900,1,0,0,5. KwaZulu-Natal,25. Amajuba District Municipality,,,600,,400,,,200,,,10,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,3440,,1. Rural Formal,,0,0,0,0,0,0,0,500,500,,444.7032,444.7032,50,400,0,10,0,200,0,0,0,100,0,1,0,0,0,0,1,444,DW Household,,,,0,1.36,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0388235,0.0152941,0,0.0020956,0.0054412,0,0,0,-0.0000368,0,0,0.005,0.0666177,0.076,0.0093823,>=0.5% & <1%
0,300095,2430,3,1,326.549469,0.2057613,0.4115226,0.1028807,0,0.0123457,0,0,0,0,0,0,0.2674897,3,0,0,0,1,500,500,9,9,9,5006,12.83038,12.83038,500,0,1,0,5. KwaZulu-Natal,21. Ugu District Municipality,,,1000,100,150,,,,,,30,,,,,,,,,200,300,,,400,,,,,,,,,,,,,,,,,,,,,,,200,,50,,,,,,,,500,,2. Tribal Authority Areas,,0,1,0,0,0,0,0,500,500,,326.5495,326.5495,500,250,0,30,0,0,0,0,0,650,1,1,0,0,0,0,1,326,DW Household,,,,0,2.43,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.036214,0.0053498,0,0.0117284,0,0,0,0,-0.0000617,0,0,0.0181893,0.0714198,0.076,0.0045802,>=0% & <0.5%
0,300116,1040,5,1,9429.701172,0.5,0.2884615,0,0,0.0192308,0,0.0288462,0,0,0,0,0.1634615,5,0,0,0,1,1200,1200,40,40,40,7013,6.928406,6.928406,1200,0,0,1,7. Gauteng,42. Sedibeng District Municipality,120,,300,,,,,30,,,20,,,,,,,,100,200,,100,,100,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,1480,,4. Urban Informal,,1,1,0,0,0,0,0,1200,1200,,9429.701,9429.701,520,0,0,20,0,30,0,0,0,170,1,1,0,0,0,0,1,9429,DW Household,,,,0,1.04,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0253846,0,0,0.0285,0.0010673,0,0,0,-0.0000962,0,0,0.0111154,0.0659712,0.076,0.0100288,>=1%
1,300129,856,3,1,7041.564941,0.1752336,0.3504673,0,0,0,0,0.2102804,0,0,0,0,0.2640187,3,0,0,0,1,1500,1500,30,30,30,7041,11.54734,11.54734,1500,0,0,0,7. Gauteng,76. City Of Tshwane Metropolitan Municipality,,,300,,,,,,,,,,,,,,,,,,150,,,106,,,,,,,180,,,,,,,,,,,,,,,,120,,,,,,,,,,2040,,3. Urban Formal,,0,0,1,0,1,0,1,1500,1500,,7041.565,7041.565,150,0,0,0,0,180,0,0,0,226,1,1,0,0,0,0,1,7041,DW Household,,1,1,0,0.856,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0308411,0,0,0.0099883,0.0077804,0,0,0,0,0,0,0.0179533,0.0665631,0.076,0.0094369,>=0.5% & <1%
0,300133,540,1,1,554.9335327,0,0.7407407,0,0,0,0,0.1851852,0,0,0,0,0.0740741,1,0,0,0,1,1300,1300,45,45,45,5029,6.671799,6.671799,1300,1,0,0,5. KwaZulu-Natal,24. Umzinyathi District Municipality,,,400,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,1300,,1. Rural Formal,,1,0,0,0,0,0,0,1300,1300,,554.9335,554.9335,0,0,0,0,0,100,0,0,0,40,1,1,0,0,0,0,1,554,DW Household,,,,1,0.54,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0651852,0,0,0,0.0068519,0,0,0,0,0,0,0.005037,0.0770741,0.076,-0.0010741,< 0%
1,300135,1470,3,0,354.4630432,0.3537415,0.4081633,0.1904762,0,0.037415,0,0,0,0,0,0,0.0102041,0,3,0,0,1,0,2000,48,48,0,3008,9.622787,,2000,0,0,0,3. Northern Cape,7. Karoo District Municipality,,500,600,30,250,,,,,,55,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,2000,,3. Urban Formal,,1,0,0,0,0,0,0,,2000,,0,354.463,520,280,0,55,0,0,0,0,0,15,,0,1,0,0,0,1,354,DW Employer,,,,0,1.47,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0359184,0.0099048,0,0.0201633,0,0,0,0,-0.0001871,0,0,0.0006939,0.0664932,0.076,0.0095068,>=0.5% & <1%
1,300142,2860,7,1,1249.694458,0.0524476,0.2447552,0.0734266,0,0.034965,0,0.1923077,0,0,0,0.3496504,0.0524476,7,0,0,0,1,2700,2700,93,93,93,5043,6.687837,6.687837,2700,0,0,0,5. KwaZulu-Natal,26. Zululand District Municipality,,,700,60,150,,,200,,,100,,,,,,,1000,,,,150,,,,,,,,,,,350,,,,,,,,,,,,,,100,50,,,,,,,,,1500,,3. Urban Formal,,1,0,0,0,0,0,0,1350,1350,46.5,2499.389,2499.389,150,210,0,100,0,550,0,0,0,150,1,1,0,0,0,0,1,1249,DW Household,,,,0,2.86,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0215385,0.0038182,0,0.0029895,0.0071154,0,0,0.0227273,-0.0001748,0,0,0.0035664,0.0615804,0.076,0.0144196,>=1%
1,300148,2017,4,1,1040.091187,0.4427367,0.1983143,0.2478929,0,0.0813089,0,0,0,0,0,0,0.0297471,0,4,0,0,1,2400,2400,87,47,47,1008,11.79303,11.79303,5200,0,0,0,1. Western Cape,2. Boland District Municipality,400,,400,200,300,,,,,,,164,,,,,,,165,200,,59,69,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,2400,,3. Urban Formal,,1,0,0,0,0,0,0,2400,2400,,1040.091,1040.091,893,500,0,164,0,0,0,0,0,60,0,0,1,0,0,0,1,1040,DW Household,,,,0,2.017,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0174517,0.0128904,0,0.025236,0,0,0,0,-0.0004065,0,0,0.0020228,0.0571943,0.076,0.0188056,>=1%
0,300153,3540,2,1,398.0007019,0.0762712,0.3389831,0,0,0,0.2175141,0.3389831,0,0,0,0,0.0282486,2,0,0,0,1,1480,1480,130,70,70,5051,4.882877,4.882877,2780,1,0,0,5. KwaZulu-Natal,27. Umkhanyakude District Municipality,,,1200,,,,,,,,,,,,,,,,,270,,,,,,,,,500,,700,,,,400,370,,,,,,,,,,,100,,,,,,,,,,3000,,1. Rural Formal,,0,0,1,0,0,0,0,1480,1480,,398.0007,398.0007,270,0,0,0,770,1200,0,0,0,100,0,1,0,0,0,0,1,398,DW Household,,,,0,3.54,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0298305,0,0.0117458,0.0043475,0.0125424,0,0,0,0,0,0,0.0019209,0.060387,0.076,0.015613,>=1%
1,300170,3500,5,1,388.306488,0.1714286,0.1428571,0,0.08,0.0571429,0,0.0857143,0.0571429,0,0.1142857,0,0.2914286,5,0,0,0,1,3000,7000,126,90,50,4001,18.47575,13.85681,8800,0,0,0,4. Free State,16. Xhariep District Municipality,,,500,,,280,,200,,,200,,,,,,400,,400,200,,,,120,,,,800,,,,,,100,,,,200,,,,,,,,,100,,,,,,,,,,9000,,3. Urban Formal,,1,0,0,0,0,0,0,3000,3500,,388.3065,776.613,600,0,280,200,0,300,200,0,400,1020,0,1,0,0,0,0,1,388,DW Household,,,,0,3.5,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0125714,0,0,0.0097714,0.0031714,0.0026286,0.0108571,0,-0.0002857,0.00216,0,0.0198171,0.0606914,0.076,0.0153086,>=1%
0,300183,1748,3,0,478.8381348,0.0160183,0.4576659,0,0,0.0171625,0,0.3432494,0,0,0,0,0.1659039,3,0,0,0,1,0,1400,45,45,0,3027,7.185014,,1400,1,0,0,3. Northern Cape,81. Kgalagadi District Municipality,,,800,,,,,,,,30,,,,,,,,,,28,,,240,,,,,,,,,600,,,,,,,,,,,,,,50,,,,,,,,,,2000,,1. Rural Formal,,0,1,1,0,0,0,0,,1400,,0,478.8381,28,0,0,30,0,600,0,0,0,290,,1,0,0,0,0,1,478,DW Employer,,,,0,1.748,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0402746,0,0,0.000913,0.0127002,0,0,0,-0.0000858,0,0,0.0112815,0.0650835,0.076,0.0109165,>=1%
1,300184,7940,4,0,308.0685425,0.3778338,0.1259446,0.0251889,0.0302267,0,0,0,0,0,0.440806,0,0,0,2,0,2,1,0,15000,40,40,0,1024,86.60508,,15000,0,0,0,3. Northern Cape,8. Siyanda District Municipality,,,1000,,200,240,,,,,,,,,,2500,1000,,1500,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,3. Urban Formal,,1,0,0,0,0,0,0,,15000,,0,308.0685,3000,200,240,0,0,0,0,0,3500,0,,0,0,1,0,0,1,308,DW Employer,,,,0,7.94,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0110831,0.0013098,0,0.0215365,0,0,0.0418766,0,0,0.0008161,0,0,0.0766222,0.076,-0.0006222,< 0%
1,300189,7190,9,0,237.7082825,0.132128,0.5563282,0.0347705,0.0445063,0.0278164,0.0667594,0.1029207,0,0.0069541,0,0,0.0278164,0,9,0,0,1,0,2300,145,45,0,1001,11.80395,,9800,0,0,0,1. Western Cape,1. West Coast District Municipality,,,4000,250,,,320,400,,,200,,,,,,,,350,600,,,,,,,,,,,340,,,,480,,,,,,,,50,,,,150,,,,50,,,,,,6200,,3. Urban Formal,,1,0,0,0,0,0,0,,2300,,0,237.7083,950,250,320,200,480,740,0,50,0,200,,0,1,0,0,0,1,237,DW Employer,,,,1,7.19,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0489569,0.0018081,0.003605,0.0075313,0.0038081,0,0,0,-0.0001391,0.0012017,0.000605,0.0018915,0.0692684,0.076,0.0067316,>=0.5% & <1%
1,300193,6721,4,1,516.3436279,0.0892724,0.1487874,0,0.1138223,0,0,0,0,0.0089272,0.5951495,0.0053563,0.0386847,4,0,0,0,1,2880,2880,30,30,30,9034,22.1709,22.1709,2880,0,0,0,8. Mpumalanga,31. Nkangala District Municipality,,,1000,,,265,,,,,,,,100,500,4000,,36,,400,,200,,,,,,,,,,,,,,,,,,,,,,,,60,,,160,,,,,,,,15000,,3. Urban Formal,,1,1,1,0,1,0,0,2880,2880,,516.3436,516.3436,600,0,765,0,0,0,0,60,4000,260,1,1,0,0,0,0,1,516,DW Household,,,,0,6.721,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0.0130933,0,0,0.0050885,0,0,0.0565392,0.0003482,0,0.0030732,0.0007767,0.0026306,0.0815496,0.076,-0.0055496,< 0%
1,300197,1180,4,1,1116.742554,0.3389831,0,0,0,0.1694915,0,0.2542373,0,0.0254237,0,0.0847458,0.1271186,4,0,0,0,1,2000,4600,85,85,45,2038,12.63793,10.26431,4600,0,0,0,1. Western Cape,171. City Of Cape Town Metropolitan Municipality,,,,,,,,300,,,200,,,,,,,100,70,300,30,,,150,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,6,3. Urban Formal,6,1,0,1,0,0,0,0,2000,2300,,1116.743,2233.485,400,0,0,200,0,300,0,30,0,150,0,1,0,0,0,0,1,1116,DW Household,2,2,,0,1.18,0.088,0.052,0.054,0.057,0.037,0.046,0.095,0.065,-0.005,0.027,0.087,0.068,0,0,0,0.019322,0.0094068,0,0,0.0055085,-0.0008475,0,0.0022119,0.0086441,0.0442458,0.076,0.0317542,>=1%
